website,plan_name,download_speed,monthly_price,promo_months,regular_price,upfront_charge,two_year_cost
1und1,1&1 DSL 16,16,0,6,29.99,69.95,25.41
1und1,1&1 DSL 50,50,0,6,39.99,69.95,32.91
1und1,1&1 DSL 100,100,0,6,44.99,69.95,36.66
1und1,1&1 DSL 250,250,0,12,49.99,69.95,27.91
Telekom,MagentaZuhause S,16,19.95,6,34.94,69.95,34.11
Telekom,MagentaZuhause M,50,19.95,6,39.95,-110.05,30.36
Telekom,MagentaZuhause L,100,19.95,6,44.94,-110.05,34.11
Telekom,MagentaZuhause XL,250,19.95,6,54.94,-110.05,41.61
Vodafone,Red Internet & Phone 16 DSL,16,0,6,29.99,0,22.49
Vodafone,Red Internet & Phone 50 DSL,50,0,6,34.99,0,26.24
vod,Red Internet & Phone 50 Cable,50,0,6,29.99,0,22.49
Vodafone,Red Internet & Phone 100 DSL,100,0,6,39.99,0,29.99
vod,Red Internet & Phone 100 Cable,100,0,6,34.99,0,26.24
Vodafone,Red Internet & Phone 250 DSL,250,0,6,49.99,0,37.49
vod,Red Internet & Phone 250 Cable,250,0,6,39.99,0,29.99
o2,o2 my Home S,10,14.99,12,24.99,69.99,22.91
o2,o2 my Home S Homespot LTE/5G,10,14.99,12,24.99,0,19.99
o2,o2 my Home M,50,19.99,12,29.99,69.99,27.91
o2,o2 my Home M Homespot LTE/5G,50,19.99,12,29.99,0,24.99
o2,o2 my Home L,100,24.99,12,34.99,69.99,32.91
o2,o2 my Home L Homespot LTE/5G,100,24.99,12,34.99,0,29.99
o2,o2 my Home XL,250,34.99,12,44.99,69.99,42.91
